Price,Manufacturing_year,Engine capacity,KM driven,Ownership,Imperfections,Repainted Parts,Spare key_Yes,Transmission_Manual,Fuel type_Diesel,Fuel type_Petrol
438000,2013,1248,120050,1,25,16,True,True,True,False
408000,2018,998,98745,1,12,4,True,True,False,False
609000,2021,1197,34224,1,1,3,True,False,False,True
716000,2021,1197,14955,1,1,1,True,True,False,True
334000,2012,1197,60719,1,22,4,True,True,False,True
546000,2015,1248,59958,2,16,2,True,True,True,False
607000,2018,1197,33155,2,4,0,True,False,False,True
275000,2013,998,45304,1,13,12,False,True,False,True
513000,2013,1373,41016,2,14,4,True,True,False,True
651000,2015,1373,48033,1,19,1,True,True,False,True
427000,2019,998,21125,1,9,0,True,False,False,True
468000,2021,1197,19528,2,4,0,True,True,False,True
866000,2020,1462,23697,1,23,3,True,False,False,True
239000,2012,998,43569,2,19,2,False,True,False,True
708000,2019,1197,24684,1,3,0,True,False,False,True
341000,2015,998,34384,1,12,0,False,True,False,True
476000,2022,998,10815,1,9,0,True,True,False,True
525000,2017,1197,29835,1,5,6,False,True,False,True
587000,2021,998,13106,1,7,3,True,True,False,False
480000,2021,998,48375,1,1,2,False,True,False,False
476000,2019,1197,25824,1,0,0,True,True,False,True
375000,2017,998,84486,1,1,0,True,False,False,True
529000,2019,1197,22343,2,14,2,True,True,False,True
643000,2019,1462,54408,2,13,4,False,False,False,True
465000,2017,1197,38048,2,22,2,False,False,False,True
432000,2017,1197,30176,1,10,4,True,True,False,True
515000,2017,1197,30064,2,4,1,True,True,False,True
865000,2021,1462,29291,1,2,0,True,False,False,True
318000,2014,998,98502,1,0,0,False,False,False,True
562000,2021,998,23233,1,9,4,True,True,False,False
587000,2022,1197,20987,1,1,0,True,True,False,True
478000,2017,1197,19428,2,3,4,True,False,False,True
945000,2021,1462,33706,1,22,1,True,False,False,True
927000,2021,1462,16992,1,4,2,False,False,False,True
416000,2020,998,37608,1,11,0,True,True,False,False
525000,2014,1248,11144,1,13,7,True,True,True,False
371000,2017,998,43944,2,14,0,True,True,False,True
287000,2014,998,105898,2,30,0,False,True,False,False
379000,2017,998,34793,1,16,0,False,True,False,True
562000,2021,998,30981,1,5,3,True,True,False,False
333000,2014,998,95135,1,0,0,True,True,False,False
586000,2021,998,36188,1,8,1,True,True,False,False
723000,2023,998,3883,1,1,0,True,False,False,True
879000,2020,1462,31176,1,7,3,True,False,False,True
506000,2018,1197,77150,1,13,2,True,False,False,True
1225000,2023,1462,21141,1,0,0,True,True,False,False
529000,2020,998,25230,1,5,3,True,True,False,False
392000,2014,1197,29876,1,20,6,True,True,False,True
381000,2015,1197,76928,2,9,3,True,True,False,True
562000,2018,1197,51852,1,15,3,True,False,False,True
351000,2017,998,19081,1,32,2,False,True,False,True
234000,2012,998,42531,2,22,0,False,True,False,True
556000,2017,1248,73649,1,19,1,True,True,True,False
462000,2019,1197,11829,2,10,4,True,True,False,True
679000,2016,1373,43851,1,1,0,False,True,False,True
280000,2014,998,67447,1,16,3,True,True,False,True
591000,2014,1248,119998,2,18,5,True,True,True,False
1231000,2023,1462,10234,1,0,0,True,True,False,True
536000,2021,1197,18693,1,9,2,True,True,False,True
630000,2019,1197,16282,2,2,2,True,False,False,True
562000,2021,998,27051,1,8,1,True,True,False,False
454000,2020,998,13440,1,13,0,True,False,False,True
